,Rookie Year,Name,rpts,rrebs,rasts,rstls,rblks,rtos,rmin,rgamp,rgams,rfg%,rft%,r3fg%,rWS/48,rBPM,rPER,rTS%,rVORP,pts,rebs,asts,stls,blks,tos,fg%,ft%,3fg%,WS/48,BPM,PER,TS%,VORP,2kRank
30,2010,Sam Young,16.21498864,5.477668433,1.417108251,0.92657078,0.545041635,2.561695685,1321,80,1,0.450704225,0.777142857,0.196428571,0.044,-4.4,13,0.518,-0.8,8.051948052,6.38961039,2.181818182,0.779220779,0.415584416,1.714285714,0.391891892,0.534883721,0.307692308,0.062,-2.8,7.5,0.464,-0.1,67
31,2011,Al-Farouq Aminu,11.33057851,6.619834711,1.487603306,1.462809917,0.619834711,2.553719008,1452,81,14,0.39408867,0.773109244,0.314685315,0.022,-3,9.6,0.499,-0.4,10.06943765,8.731540342,2.006845966,1.443520782,0.668948655,1.549144254,0.473684211,0.664233577,0.270833333,0.072,-0.3,13.2,0.516,0.9,74
32,2011,Omer Asik,8.335692619,11.13852376,1.164812942,0.728008089,2.038422649,2.329625885,989,82,0,0.553191489,0.503448276,0,0.13,-0.5,11.8,0.559,0.4,10.41322314,14.05785124,0.929752066,0.520661157,1.376033058,2.194214876,0.531578947,0.619047619,0,0.121,-2.4,14,0.57,-0.1,76
33,2011,Eric Bledsoe,10.61814231,4.360673547,5.65127648,1.799022271,0.508419337,3.79359044,1841,81,25,0.423868313,0.744360902,0.275862069,0.008,-2,10.8,0.499,0,19.39830508,5.13559322,5.974576271,1.754237288,0.355932203,3.63559322,0.476618705,0.772151899,0.357142857,0.14,2.9,19.6,0.578,1.8,81
34,2011,Trevor Booker,11.71777987,8.500470367,1.185324553,0.982126058,1.422389464,1.286923801,1063,65,14,0.549407115,0.673267327,0,0.119,-0.7,15.3,0.582,0.3,11.3818416,8.785576304,1.483580167,0.950418545,1.043142305,1.344494527,0.550868486,0.618421053,0,0.132,0.2,15,0.563,0.8,74
35,2011,Avery Bradley,11.55555556,3.777777778,2.666666667,2,0,3.555555556,162,31,0,0.343283582,0.5,0,-0.139,-9.7,2.2,0.36,-0.3,17.2916442,4.385983827,1.649595687,1.222641509,0.213477089,1.863072776,0.437575758,0.803571429,0.395,0.046,-2.5,12.7,0.51,-0.2,78
36,2011,DeMarcus Cousins,17.8207016,10.89822434,3.180597661,1.325249026,1.06019922,4.178432222,2309,81,62,0.430278885,0.686567164,0.166666667,0.022,-1.4,14.6,0.484,0.4,25.2845953,13.01827676,3.242819843,1.707571802,1.425587467,3.932114883,0.496221663,0.72605042,0,0.166,4.7,26.1,0.555,3.9,86
37,2011,Ed Davis,11.25842697,10.38202247,0.898876405,0.876404494,1.505617978,1.078651685,1602,65,17,0.576407507,0.5546875,0,0.119,0.3,15.8,0.583,0.9,13.44351464,9.790794979,1.016736402,0.640167364,1.619246862,1.506276151,0.534482759,0.528089888,0,0.129,-1.3,15.9,0.542,0.2,73
38,2011,Jeremy Evans,13.84017279,7.542116631,1.866090713,1.321814255,1.321814255,1.477321814,463,49,3,0.660869565,0.702702703,0,0.167,1.2,18.8,0.678,0.4,11.94044665,9.230769231,1.310173697,1.250620347,1.369727047,1.191066998,0.527108434,0.68,0,0.112,-0.1,16.2,0.549,0.6,70
39,2011,Derrick Favors,11.64802933,9.800183318,0.692942255,0.593950504,1.352887259,1.847846013,1091,56,23,0.510869565,0.612068966,0,0.083,-2.7,12.6,0.54,-0.2,15.86551567,10.4189005,1.488414357,1.226715129,1.766469786,2.109950023,0.522088353,0.669014085,0,0.112,0.7,19,0.556,1.5,78
