,Rookie Year,Name,rpts,rrebs,rasts,rstls,rblks,rmin,rgamp,rgams,rfg%,rft%,r3fg%,rWS/48,rBPM,rPER,rTS%,rVORP,pts,rebs,asts,stls,blks,fg%,ft%,3fg%,WS/48,BPM,PER,TS%,VORP,rtos,tos,Tier1,Tier2,Tier3,Tier4,Tier5
26,2010,A.J. Price,17.06358382,3.662427746,4.411560694,1.456647399,0.1248554913,865,56,2,0.4096045198,0.8,0.3448275862,0.065,-1.8,14,0.53,0,12.42253521,3.211267606,5.774647887,0.9295774648,0.08450704225,0.3898305085,0.7903225806,0.35,0.084,-1.8,12.4,0.501,0.1,2.455491329,1.802816901,0,1,0,0,0
27,2010,Jeff Teague,11.41585535,3.354659249,6.108484006,1.702364395,0.5507649513,719,71,3,0.3964757709,0.8367346939,0.21875,0.042,-4.2,11,0.459,-0.4,15.97260274,2.465753425,7.931506849,1.602739726,0.3835616438,0.4507186858,0.8805309735,0.3588709677,0.111,-0.7,16.8,0.543,0.8,2.503477051,3.150684932,0,0,1,0,0
28,2010,Hasheem Thabeet,8.4801812,9.907134768,0.4484711212,0.6115515289,3.628539071,883,68,13,0.5877862595,0.5806451613,0,0.109,-0.4,12.9,0.605,0.4,7.480519481,9.116883117,0.5142857143,1.402597403,2.805194805,0.6037735849,0.6037735849,0,0.134,0.8,11.6,0.619,0.5,1.753114383,1.916883117,1,0,0,0,0
29,2010,Marcus Thornton,20.32692308,4.057692308,2.192307692,1.115384615,0.2115384615,1872,73,17,0.4507361268,0.813559322,0.3738019169,0.103,-0.4,17.4,0.55,0.8,19.10544612,3.775202781,1.898030127,1.27230591,0.08342989571,0.4289405685,0.880952381,0.3720316623,0.089,-0.7,16.3,0.552,0.6,1.461538462,1.418308227,0,1,0,0,0
30,2010,Sam Young,16.21498864,5.477668433,1.417108251,0.9265707797,0.5450416351,1321,80,1,0.4507042254,0.7771428571,0.1964285714,0.044,-4.4,13,0.518,-0.8,8.051948052,6.38961039,2.181818182,0.7792207792,0.4155844156,0.3918918919,0.5348837209,0.3076923077,0.062,-2.8,7.5,0.464,-0.1,2.561695685,1.714285714,0,1,0,0,0
31,2011,Al-Farouq Aminu,11.33057851,6.619834711,1.487603306,1.462809917,0.6198347107,1452,81,14,0.39408867,0.7731092437,0.3146853147,0.022,-3,9.6,0.499,-0.4,10.06943765,8.731540342,2.006845966,1.443520782,0.6689486553,0.4736842105,0.6642335766,0.2708333333,0.072,-0.3,13.2,0.516,0.9,2.553719008,1.549144254,0,0,1,0,0
32,2011,Ömer Aşık,8.335692619,11.13852376,1.164812942,0.728008089,2.038422649,989,82,0,0.5531914894,0.5034482759,0,0.13,-0.5,11.8,0.559,0.4,10.41322314,14.05785124,0.9297520661,0.520661157,1.376033058,0.5315789474,0.619047619,0,0.121,-2.4,14,0.57,-0.1,2.329625885,2.194214876,0,0,1,0,0
33,2011,Eric Bledsoe,10.61814231,4.360673547,5.65127648,1.799022271,0.5084193373,1841,81,25,0.4238683128,0.7443609023,0.275862069,0.008,-2,10.8,0.499,0,19.39830508,5.13559322,5.974576271,1.754237288,0.3559322034,0.476618705,0.7721518987,0.3571428571,0.14,2.9,19.6,0.578,1.8,3.79359044,3.63559322,0,0,1,0,0
34,2011,Trevor Booker,11.71777987,8.500470367,1.185324553,0.9821260583,1.422389464,1063,65,14,0.5494071146,0.6732673267,0,0.119,-0.7,15.3,0.582,0.3,11.3818416,8.785576304,1.483580167,0.9504185448,1.043142305,0.5508684864,0.6184210526,0,0.132,0.2,15,0.563,0.8,1.286923801,1.344494527,0,1,0,0,0
35,2011,Avery Bradley,11.55555556,3.777777778,2.666666667,2,0,162,31,0,0.3432835821,0.5,0,-0.139,-9.7,2.2,0.36,-0.3,17.2916442,4.385983827,1.649595687,1.222641509,0.2134770889,0.4375757576,0.8035714286,0.395,0.046,-2.5,12.7,0.51,-0.2,3.555555556,1.863072776,0,0,1,0,0
